date_time,Open,High,Low,Close,CDLENGULFING
2022-03-01 10:00:00,43253.0,43582.0,42765.4,43569.9,100
2022-03-02 17:00:00,44235.0,44434.0,43701.0,43734.5,-100
2022-03-03 01:00:00,43961.1,44025.6,43680.0,43820.1,-100
2022-03-04 10:00:00,41511.0,41783.4,41458.0,41656.7,100
2022-03-05 03:00:00,38851.4,39100.0,38815.0,39029.1,100
2022-03-05 14:00:00,38986.6,39152.6,38903.0,39100.4,100
2022-03-06 00:00:00,39375.0,39690.0,39325.5,39624.5,100
2022-03-07 11:00:00,38011.9,38390.4,37963.1,38314.1,100
2022-03-08 04:00:00,38678.6,38805.1,38456.0,38526.7,-100
2022-03-09 10:00:00,42006.0,42230.0,41950.0,42209.6,100
2022-03-10 00:00:00,41939.5,42034.3,41735.1,41810.2,-100
2022-03-10 19:00:00,39138.1,39580.0,39036.3,39405.5,100
2022-03-11 03:00:00,38248.5,38881.0,38231.4,38703.1,100
2022-03-11 13:00:00,39896.2,39938.0,39150.0,39243.8,-100
2022-03-11 18:00:00,38790.7,38857.0,38588.1,38618.1,-100
2022-03-12 11:00:00,39208.3,39257.0,38956.5,39054.1,-100
2022-03-13 07:00:00,39131.9,39184.1,39051.6,39075.4,-100
2022-03-13 13:00:00,38475.0,38927.5,38431.5,38728.0,100
2022-03-15 07:00:00,38753.0,38759.4,38073.8,38428.0,-100
2022-03-15 14:00:00,38709.6,39197.9,38645.4,39012.5,100
2022-03-16 08:00:00,39560.9,40500.0,39538.0,40289.0,100
2022-03-17 01:00:00,41012.0,41313.9,40807.3,41205.6,100
2022-03-17 20:00:00,40859.3,40871.3,40618.6,40688.4,-100
2022-03-20 23:00:00,41426.2,41437.5,41142.7,41261.0,-100
2022-03-21 15:00:00,41015.9,41237.7,40874.9,41198.3,100
2022-03-21 21:00:00,41104.2,41320.9,41039.0,41278.0,100
2022-03-22 17:00:00,42506.8,42628.6,42468.0,42611.9,100
2022-03-22 22:00:00,42805.1,42812.6,42450.0,42523.1,-100
2022-03-23 12:00:00,42028.7,42435.0,41860.9,42335.9,100
2022-03-23 19:00:00,42069.1,42361.8,42050.0,42192.8,100
2022-03-24 01:00:00,43030.2,43078.6,42678.2,42809.5,-100
2022-03-24 03:00:00,42926.0,42945.0,42655.0,42696.4,-100
2022-03-25 17:00:00,44139.6,44344.9,44000.0,44328.8,100
2022-03-25 20:00:00,44428.7,44600.0,44330.5,44525.1,100
2022-03-26 07:00:00,44423.1,44527.0,44333.1,44482.8,100
2022-03-26 13:00:00,44330.8,44388.9,44118.3,44240.5,-100
2022-03-27 20:00:00,44813.5,46836.0,44700.0,46114.2,100
2022-03-28 01:00:00,46916.0,47029.6,46676.1,46799.0,-100
2022-03-29 20:00:00,47704.7,47721.1,47300.1,47464.7,-100
2022-03-30 08:00:00,47371.5,47506.4,47188.0,47431.9,100
2022-03-30 09:00:00,47432.0,47454.2,47206.0,47263.5,-100
2022-03-30 20:00:00,47061.1,47283.6,46985.6,47242.3,100
2022-03-31 00:00:00,47053.1,47250.0,46950.0,47139.2,100
